Player,Team,Age,Position,TransferValue_EUR_Millions,Highest_ETV_EUR_Millions
Erling Haaland,Man City,24,,198.8,199.6
Martin Ødegaard,Arsenal,26,,126.5,134.5
Alexander Isak,Newcastle Utd.,25,,120.3,120.3
Cole Palmer,Chelsea,23,,115.4,119.0
Declan Rice,Arsenal,26,,107.8,120.0
Alexis Mac Allister,Liverpool,26,,106.1,117.0
Phil Foden,Man City,24,,105.7,138.6
Bukayo Saka,Arsenal,23,,101.3,127.5
Ryan Gravenberch,Liverpool,22,,85.3,85.5
Bruno Guimarães,Newcastle Utd.,27,,83.2,83.2
Moisés Caicedo,Chelsea,23,,80.7,86.1
William Saliba,Arsenal,24,,79.5,79.5
Omar Marmoush,Man City,26,,79.1,79.1
Joško Gvardiol,Man City,23,,78.7,86.6
Gabriel Magalhães,Arsenal,27,,75.5,75.5
Sávio,Man City,21,,74.8,74.8
Enzo Fernández,Chelsea,24,,73.7,82.7
Dominik Szoboszlai,Liverpool,24,,71.4,71.4
Brennan Johnson,Tottenham,23,,71.3,71.3
Lucas Paquetá,West Ham United,27,,71.2,75.0
Leny Yoro,Man Utd,19,,71.0,71.0
Luis Díaz,Liverpool,28,,71.0,78.5
Kai Havertz,Arsenal,25,,70.5,98.6
Morgan Rogers,Aston Villa,23,,69.0,79.6
Murillo,Nottingham,22,,68.4,68.4
Cody Gakpo,Liverpool,26,,67.5,72.2
Nicolas Jackson,Chelsea,23,,66.2,71.8
Jérémy Doku,Man City,22,,66.2,66.5
Kobbie Mainoo,Man Utd,20,,66.0,66.0
Jurrien Timber,Arsenal,23,,65.5,65.5
Rico Lewis,Man City,20,,62.7,63.8
Matheus Cunha,Wolverhampton,25,,62.6,62.6
Gabriel Martinelli,Arsenal,23,,62.6,70.1
Eberechi Eze,C. Palace,26,,62.2,62.2
Amadou Onana,Aston Villa,23,,62.1,64.5
Micky van de Ven,Tottenham,24,,61.8,62.0
Mohammed Kudus,West Ham United,24,,61.7,63.8
Morgan Gibbs-White,Nottingham,25,,61.7,61.7
Curtis Jones,Liverpool,24,,61.7,61.7
Miloš Kerkez,B'mouth,21,,61.5,61.6
Ollie Watkins,Aston Villa,29,,61.4,65.8
João Pedro,Brighton,23,,61.3,62.5
Darwin Núñez,Liverpool,25,,60.9,67.5
Alejandro Garnacho,Man Utd,20,,60.7,66.5
Pedro Neto,Chelsea,25,,60.6,62.0
Dejan Kulusevski,Tottenham,25,,60.5,72.0
Cristian Romero,Tottenham,27,,60.1,73.4
Destiny Udogie,Tottenham,22,,59.4,60.6
Ben White,Arsenal,27,,58.8,77.2
Illia Zabarnyi,B'mouth,22,,58.8,58.8
Diogo Jota,Liverpool,28,,58.6,74.6
Rúben Dias,Man City,27,,58.5,83.2
Archie Gray,Tottenham,19,,58.2,72.5
James Maddison,Tottenham,28,,58.1,63.7
Ibrahima Konaté,Liverpool,25,,57.2,57.2
Bryan Mbeumo,Brentford,25,,57.2,62.5
Levi Colwill,Chelsea,22,,56.6,60.0
Pedro Porro,Tottenham,25,,55.9,56.5
Trent Alexander-Arnold,Liverpool,26,,55.8,103.5
Dean Huijsen,B'mouth,20,,55.0,56.3
Bruno Fernandes,Man Utd,30,,54.8,87.7
Marc Guéhi,C. Palace,24,,54.2,54.2
Marcus Rashford,Aston Villa,27,,53.6,82.7
Sandro Tonali,Newcastle Utd.,25,,52.9,71.2
Carlos Baleba,Brighton,21,,52.4,52.4
Matthijs de Ligt,Man Utd,25,,52.2,80.3
Dominic Solanke,Tottenham,27,,52.1,57.9
Christopher Nkunku,Chelsea,27,,51.7,62.7
Noni Madueke,Chelsea,23,,51.6,52.5
João Gomes,Wolverhampton,24,,51.1,51.1
Pape Matar Sarr,Tottenham,22,,50.8,54.1
Kaoru Mitoma,Brighton,27,,50.6,50.6
Bernardo Silva,Man City,30,,50.0,81.0
Anthony Gordon,Newcastle Utd.,24,,49.5,52.4
Valentino Livramento,Newcastle Utd.,22,,49.3,49.3
Riccardo Calafiori,Arsenal,22,,49.3,53.9
Lisandro Martínez,Man Utd,27,,49.2,61.2
Adam Wharton,C. Palace,21,,48.9,49.3
Amad Diallo,Man Utd,22,,48.5,48.6
Jarrod Bowen,West Ham United,28,,48.1,67.1
Antoine Semenyo,B'mouth,25,,47.7,47.7
Joelinton,Newcastle Utd.,28,,47.5,47.5
Elliot Anderson,Nottingham,22,,46.5,46.5
Antonee Robinson,Fulham,27,,46.4,46.4
Boubacar Kamara,Aston Villa,25,,46.3,59.0
Jacob Ramsey,Aston Villa,23,,45.8,46.2
Anthony Elanga,Nottingham,23,,45.5,45.6
Pau Torres,Aston Villa,28,,45.3,51.8
Justin Kluivert,B'mouth,26,,44.8,55.8
Joshua Zirkzee,Man Utd,23,,43.7,48.3
Noussair Mazraoui,Man Utd,27,,43.0,45.3
Manuel Akanji,Man City,29,,42.8,55.5
Ezri Konsa,Aston Villa,27,,42.7,46.7
Yankuba Minteh,Brighton,20,,42.6,42.6
Jan Paul van Hecke,Brighton,24,,42.4,42.4
Matheus Nunes,Man City,26,,42.3,48.3
Guglielmo Vicario,Tottenham,28,,41.6,41.6
Youri Tielemans,Aston Villa,28,,41.5,58.9
Harvey Barnes,Newcastle Utd.,27,,41.5,44.5
Georginio Rutter,Brighton,23,,41.3,41.4
Emile Smith Rowe,Fulham,24,,40.8,41.1
Ian Maatsen,Aston Villa,23,,40.6,52.4
Bilal El Khannouss,Leicester,20,,40.6,40.6
Mikel Merino,Arsenal,28,,40.5,46.2
Marc Cucurella,Chelsea,26,,39.4,57.9
Leon Bailey,Aston Villa,27,,39.2,45.0
Mohamed Salah,Liverpool,32,,38.5,85.6
Nikola Milenković,Nottingham,27,,38.0,54.2
Jadon Sancho,Chelsea,25,,37.7,108.7
Diogo Dalot,Man Utd,26,,37.4,51.3
Pervis Estupiñán,Brighton,27,,37.1,60.0
Liam Delap,Ipswich Town,22,,37.0,37.0
Max Kilman,West Ham United,27,,36.7,45.1
Edson Álvarez,West Ham United,27,,36.5,40.5
Jean-Clair Todibo,West Ham United,25,,36.0,40.7
Joe Willock,Newcastle Utd.,25,,35.8,41.5
Myles Lewis-Skelly,Arsenal,18,,34.9,35.7
Lewis Hall,Newcastle Utd.,20,,34.5,36.1
André Onana,Man Utd,29,,34.2,46.6
